schema_version,record_kind,analysis_model,method,amplitude_numerator,amplitude_denominator,amplitude,table_layout,visibility_table_sha256,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,replicate,case_seed,sampling_seed,desired_accuracy,requested_confidence_level,status,error,evaluation_schedule,shots_per_circuit,total_shots,distinct_circuits,sampler_jobs,state_preparation_applications,inverse_state_preparation_applications,grover_iterations,good_state_markings,per_circuit_good_probabilities,per_circuit_good_counts,estimate,signed_error,absolute_error,squared_error,confidence_interval_low,confidence_interval_high,confidence_interval_level,confidence_interval_method,confidence_interval_covers_truth,maximum_log_likelihood,maximizing_grid_index,maximizing_grid_ties,mle_grid_points,classical_samples,classical_successes,sampling
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,0,2996793737,4095589689,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,0,2996793737,1331536527,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,1,530898858,293957340,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,1,530898858,366340133,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,2,2030476719,356494172,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,2,2030476719,4047156718,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,3,356078307,287362478,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,3,356078307,4219313351,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,4,3583312588,807567250,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,4,3583312588,1471755460,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,5,1204398725,1988296503,0.05,0.95,ok,,"[0,1,2,4]",1,4,4,1,11,7,7,7,"[0.0,0.0,0.0,0.0]","[0,0,0,0]",0.0,0.0,0.0,0.0,0.0,0.013671875,0.95,audit_fixed_grid_likelihood_ratio_envelope_not_qiskit_ci,True,-8.900295434028806e-308,0,1,8193,,,
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,classical_monte_carlo,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,32,18,64,False,False,5,1204398725,887689665,0.05,0.95,ok,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.17587922364665756,0.95,wilson_score,True,,,,,18,0,with_replacement
