schema_version,summary_kind,analysis_model,method,amplitude_numerator,amplitude_denominator,amplitude,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,evaluation_schedule,shots_per_circuit,n,n_requested,n_failed,mean_estimate,bias,rmse,sample_std,sample_variance,mean_absolute_error,empirical_ci_coverage,mean_ci_width,confidence_level,bootstrap_replicates,bootstrap_confidence_level,bootstrap_base_seed,bootstrap_group_seed,bias_bootstrap_ci_low,bias_bootstrap_ci_high,rmse_bootstrap_ci_low,rmse_bootstrap_ci_high,sample_std_bootstrap_ci_low,sample_std_bootstrap_ci_high,full_range_loglog_rmse_slope,slope_status,slope_point_count,slope_min_logical_lookup_oracle_calls,slope_max_logical_lookup_oracle_calls,full_range_loglog_rmse_slope_bootstrap_ci_low,full_range_loglog_rmse_slope_bootstrap_ci_high,slope_bootstrap_valid_resamples,slope_bootstrap_joint_replicates,slope_bootstrap_seed
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013671875,0.95,2000,0.95,20260801,1279972393,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00390625,0.95,2000,0.95,20260801,366868856,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00146484375,0.95,2000,0.95,20260801,3784436816,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006103515625,0.95,2000,0.95,20260801,3909953240,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000244140625,0.95,2000,0.95,20260801,3770268916,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,0,64,0.0,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001220703125,0.95,2000,0.95,20260801,972315414,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,3356983193
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.06832504272460938,0.052700042724609375,0.14092246067940206,0.13095355302496756,0.01714883304986299,0.056362152099609375,0.765625,0.702995777130127,0.95,2000,0.95,20260801,1516417948,0.03711082935333252,0.0693865895271301,0.09897579707654024,0.17846539377070206,0.09157628613751016,0.1664572360095062,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.06288385391235352,0.047258853912353516,0.11399403587804796,0.10393960692406758,0.010803441887529677,0.05268716812133789,0.8671875,0.7031269073486328,0.95,2000,0.95,20260801,3858099426,0.034951627254486084,0.06037970781326294,0.07562357542886436,0.15062663989375097,0.0662546134065328,0.13873069381070352,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.052556514739990234,0.036931514739990234,0.13912252557322433,0.13439380131693282,0.01806169383241521,0.0408473014831543,0.8515625,0.16864299774169922,0.95,2000,0.95,20260801,3222823893,0.02139155864715576,0.05514507293701169,0.09882613789532699,0.17923203506172677,0.09667519923217394,0.170579428433574,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.022312164306640625,0.006687164306640625,0.05600146673016102,0.05570968881210573,0.003103569427541658,0.009092330932617188,0.93359375,0.03012990951538086,0.95,2000,0.95,20260801,66524005,0.0007671236991882326,0.014302551746368406,0.007141278212629698,0.08448166904826386,0.007131439205550332,0.08344911933316661,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.015529155731201172,-9.584426879882812e-05,0.001703201455185051,0.001703833650525664,2.9030491086636103e-06,0.0012335777282714844,0.94921875,0.006602764129638672,0.95,2000,0.95,20260801,3988562689,-0.00030710697174072263,9.871721267700189e-05,0.001453145321708297,0.002018954610598348,0.0014522243235526044,0.002012431579676508,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
