schema_version,record_kind,method,execution_model,amplitude_numerator,amplitude_denominator,amplitude,table_layout,visibility_table_sha256,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,repeat,warmup,status,error,runtime_warnings,estimate,signed_error,absolute_error,confidence_interval_low,confidence_interval_high,confidence_interval_level,confidence_interval_method,confidence_interval_covers_truth,estimator_runtime_ms,operational_method_runtime_ms,audit_end_to_end_ms,runtime_execution_sequence,runtime_order_seed,runtime_order_phase,runtime_order_scope
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,,64,64,,True,-1,True,ok,,[],0.0,0.0,0.0,0.0,0.0,,degenerate_exact_enumeration,True,0.001333,0.001333,0.001333,0,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,32,64,0.5,contiguous_prefix_visible_then_blocked,037d6dfb3a369a41e01100fdd53c35ee3fb69ddec5830d61e1138d066a4c2285,,64,64,,True,-1,True,ok,,[],0.5,0.0,0.0,0.5,0.5,,degenerate_exact_enumeration,True,0.000458,0.000458,0.000458,1,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,63,64,0.984375,contiguous_prefix_visible_then_blocked,4a22bb45b68e2388bce472d38b49adb1bb6b08e220e9edede71b70cc62ad2db2,,64,64,,True,-1,True,ok,,[],0.984375,0.0,0.0,0.984375,0.984375,,degenerate_exact_enumeration,True,0.000458,0.000458,0.000458,2,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,1,64,0.015625,contiguous_prefix_visible_then_blocked,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,,64,64,,True,-1,True,ok,,[],0.015625,0.0,0.0,0.015625,0.015625,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,3,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,64,64,1.0,contiguous_prefix_visible_then_blocked,7c8975e1e60a5c8337f28edf8c33c3b180360b7279644a9bc1af3c51e6220bf5,,64,64,,True,-1,True,ok,,[],1.0,0.0,0.0,1.0,1.0,,degenerate_exact_enumeration,True,0.000334,0.000334,0.000334,4,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,8,64,0.125,contiguous_prefix_visible_then_blocked,407b84e032b28972b59fe5732c4e37776624a39308e563a5604359ca2b16ec23,,64,64,,True,-1,True,ok,,[],0.125,0.0,0.0,0.125,0.125,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,5,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,56,64,0.875,contiguous_prefix_visible_then_blocked,3c2388fcb014d41bb64b30937ecf31fd7ffb7b9790d03bc63ad567d3c56e6f33,,64,64,,True,-1,True,ok,,[],0.875,0.0,0.0,0.875,0.875,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,6,20260802,warmup,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,1,64,0.015625,contiguous_prefix_visible_then_blocked,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,,64,64,,True,1,False,ok,,[],0.015625,0.0,0.0,0.015625,0.015625,,degenerate_exact_enumeration,True,0.000291,0.000291,0.000291,7,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,64,64,1.0,contiguous_prefix_visible_then_blocked,7c8975e1e60a5c8337f28edf8c33c3b180360b7279644a9bc1af3c51e6220bf5,,64,64,,True,1,False,ok,,[],1.0,0.0,0.0,1.0,1.0,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,8,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,8,64,0.125,contiguous_prefix_visible_then_blocked,407b84e032b28972b59fe5732c4e37776624a39308e563a5604359ca2b16ec23,,64,64,,True,1,False,ok,,[],0.125,0.0,0.0,0.125,0.125,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,9,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,63,64,0.984375,contiguous_prefix_visible_then_blocked,4a22bb45b68e2388bce472d38b49adb1bb6b08e220e9edede71b70cc62ad2db2,,64,64,,True,0,False,ok,,[],0.984375,0.0,0.0,0.984375,0.984375,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,10,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,0,64,0.0,contiguous_prefix_visible_then_blocked,f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b,,64,64,,True,3,False,ok,,[],0.0,0.0,0.0,0.0,0.0,,degenerate_exact_enumeration,True,0.000292,0.000292,0.000292,11,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,64,64,1.0,contiguous_prefix_visible_then_blocked,7c8975e1e60a5c8337f28edf8c33c3b180360b7279644a9bc1af3c51e6220bf5,,64,64,,True,0,False,ok,,[],1.0,0.0,0.0,1.0,1.0,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,12,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,32,64,0.5,contiguous_prefix_visible_then_blocked,037d6dfb3a369a41e01100fdd53c35ee3fb69ddec5830d61e1138d066a4c2285,,64,64,,True,4,False,ok,,[],0.5,0.0,0.0,0.5,0.5,,degenerate_exact_enumeration,True,0.000291,0.000291,0.000291,13,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,56,64,0.875,contiguous_prefix_visible_then_blocked,3c2388fcb014d41bb64b30937ecf31fd7ffb7b9790d03bc63ad567d3c56e6f33,,64,64,,True,1,False,ok,,[],0.875,0.0,0.0,0.875,0.875,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,14,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,56,64,0.875,contiguous_prefix_visible_then_blocked,3c2388fcb014d41bb64b30937ecf31fd7ffb7b9790d03bc63ad567d3c56e6f33,,64,64,,True,0,False,ok,,[],0.875,0.0,0.0,0.875,0.875,,degenerate_exact_enumeration,True,0.000291,0.000291,0.000291,15,20260802,measured,exact_control_deterministic_phase_shuffle
1.0,exact_finite_domain_control,exact_enumeration,Python sum over the supplied 64-entry deterministic table,32,64,0.5,contiguous_prefix_visible_then_blocked,037d6dfb3a369a41e01100fdd53c35ee3fb69ddec5830d61e1138d066a4c2285,,64,64,,True,0,False,ok,,[],0.5,0.0,0.0,0.5,0.5,,degenerate_exact_enumeration,True,0.00025,0.00025,0.00025,16,20260802,measured,exact_control_deterministic_phase_shuffle
