schema_version,summary_kind,method,execution_model,amplitude_numerator,amplitude_denominator,amplitude,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,n,n_requested,n_failed,failure_messages,warmup_records_excluded,mean_estimator_runtime_ms,median_estimator_runtime_ms,median_estimator_runtime_ms_bootstrap_ci_low,median_estimator_runtime_ms_bootstrap_ci_high,sample_std_estimator_runtime_ms,min_estimator_runtime_ms,max_estimator_runtime_ms,mean_operational_method_runtime_ms,median_operational_method_runtime_ms,median_operational_method_runtime_ms_bootstrap_ci_low,median_operational_method_runtime_ms_bootstrap_ci_high,sample_std_operational_method_runtime_ms,min_operational_method_runtime_ms,max_operational_method_runtime_ms,mean_audit_end_to_end_ms,median_audit_end_to_end_ms,median_audit_end_to_end_ms_bootstrap_ci_low,median_audit_end_to_end_ms_bootstrap_ci_high,sample_std_audit_end_to_end_ms,min_audit_end_to_end_ms,max_audit_end_to_end_ms,median_oracle_synthesis_ms,median_sampler_algorithm_setup_ms,median_analysis_copy_transpilation_ms,median_confidence_interval_postprocessing_ms,bootstrap_replicates,bootstrap_confidence_level,bootstrap_base_seed,bootstrap_group_seed,max_transpiled_quantum_depth,max_transpiled_quantum_gate_count,schedule_transpiled_quantum_gate_count,shot_weighted_transpiled_quantum_gate_count
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,32,18,64,False,False,5,5,0,[],1,0.0161082,0.017833,0.012458,0.019208,0.0033296450561583887,0.012458,0.019208,0.0205498,0.024125,0.014125,0.025625,0.005851907697494894,0.014125,0.025625,0.0205498,0.024125,0.014125,0.025625,0.005851907697494894,0.014125,0.025625,,,,0.006083,2000,0.95,20260801,2545298305,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,64,35,64,True,False,5,5,0,[],1,0.0169248,0.015583,0.014583,0.0235,0.0036986489695563164,0.014583,0.0235,0.019466400000000002,0.017083,0.015875,0.029916,0.005871322023190348,0.015875,0.029916,0.019466400000000002,0.017083,0.015875,0.029916,0.005871322023190348,0.015875,0.029916,,,,0.001666,2000,0.95,20260801,2394203380,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,128,105,64,True,True,5,5,0,[],1,0.038849800000000004,0.038875,0.035875,0.042458,0.002388351670085461,0.035875,0.042458,0.045500200000000005,0.045334,0.042125,0.049333,0.0025924530275397467,0.042125,0.049333,0.045500200000000005,0.045334,0.042125,0.049333,0.0025924530275397467,0.042125,0.049333,,,,0.00675,2000,0.95,20260801,3664496871,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,256,245,64,True,True,5,5,0,[],1,0.0665834,0.067541,0.062,0.069917,0.0029649187678585757,0.062,0.069917,0.0723332,0.074,0.064,0.07625,0.00485439091956962,0.064,0.07625,0.0723332,0.074,0.064,0.07625,0.00485439091956962,0.064,0.07625,,,,0.00625,2000,0.95,20260801,1341188548,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,512,490,64,True,True,5,5,0,[],1,0.11922479999999999,0.119083,0.116041,0.123833,0.0032827264887589974,0.116041,0.123833,0.124525,0.126125,0.117875,0.131916,0.006301683544894972,0.117875,0.131916,0.124525,0.126125,0.117875,0.131916,0.006301683544894972,0.117875,0.131916,,,,0.007,2000,0.95,20260801,1664304552,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,0,64,0.0,1024,1015,64,True,True,5,5,0,[],1,0.24067500000000003,0.240042,0.231167,0.246416,0.006227285965812067,0.231167,0.246416,0.24710800000000002,0.248083,0.237625,0.254541,0.00703496673766124,0.237625,0.254541,0.24710800000000002,0.248083,0.237625,0.254541,0.00703496673766124,0.237625,0.254541,,,,0.0065,2000,0.95,20260801,1714118328,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,32,18,64,False,False,5,5,0,[],1,0.0175418,0.012084,0.011667,0.02825,0.007884906036218822,0.011667,0.02825,0.0218834,0.013959,0.013208,0.034792,0.011354346581816145,0.013208,0.034792,0.0218834,0.013959,0.013208,0.034792,0.011354346581816145,0.013208,0.034792,,,,0.001916,2000,0.95,20260801,1772624374,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,64,35,64,True,False,5,5,0,[],1,0.018224999999999998,0.0165,0.015625,0.025042,0.003947563425709585,0.015625,0.025042,0.0220582,0.020208,0.0175,0.031875,0.00574014844755778,0.0175,0.031875,0.0220582,0.020208,0.0175,0.031875,0.00574014844755778,0.0175,0.031875,,,,0.002166,2000,0.95,20260801,1830560686,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,128,105,64,True,True,5,5,0,[],1,0.0365334,0.037625,0.029709,0.0425,0.0054823721416919526,0.029709,0.0425,0.0435082,0.048041,0.031417,0.052583,0.010114781693145926,0.031417,0.052583,0.0435082,0.048041,0.031417,0.052583,0.010114781693145926,0.031417,0.052583,,,,0.00725,2000,0.95,20260801,523123682,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,256,245,64,True,True,5,5,0,[],1,0.06616659999999999,0.066291,0.059708,0.071834,0.0051015187248504715,0.059708,0.071834,0.0709164,0.0735,0.061541,0.078542,0.007637030594412988,0.061541,0.078542,0.0709164,0.0735,0.061541,0.078542,0.007637030594412988,0.061541,0.078542,,,,0.006417,2000,0.95,20260801,2586981376,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,512,490,64,True,True,5,5,0,[],1,0.11737500000000001,0.11625,0.110625,0.128,0.007064435575472395,0.110625,0.128,0.121308,0.118041,0.112375,0.135041,0.009620941430026479,0.112375,0.135041,0.121308,0.118041,0.112375,0.135041,0.009620941430026479,0.112375,0.135041,,,,0.002042,2000,0.95,20260801,1412898420,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,1024,1015,64,True,True,5,5,0,[],1,0.23369179999999998,0.232792,0.224875,0.247667,0.008535623392582407,0.224875,0.247667,0.2367086,0.234792,0.227125,0.254584,0.010555628110159991,0.227125,0.254584,0.2367086,0.234792,0.227125,0.254584,0.010555628110159991,0.227125,0.254584,,,,0.002083,2000,0.95,20260801,1748397557,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,32,18,64,False,False,5,5,0,[],1,0.0176752,0.0205,0.012042,0.022125,0.005138010188779309,0.012042,0.022125,0.0223754,0.027167,0.013417,0.028959,0.008112338429824041,0.013417,0.028959,0.0223754,0.027167,0.013417,0.028959,0.008112338429824041,0.013417,0.028959,,,,0.006583,2000,0.95,20260801,3221809289,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,64,35,64,True,False,5,5,0,[],1,0.0195752,0.016042,0.014833,0.026334,0.005495778443496426,0.014833,0.026334,0.0233748,0.018208,0.016708,0.032875,0.008005734925664228,0.016708,0.032875,0.0233748,0.018208,0.016708,0.032875,0.008005734925664228,0.016708,0.032875,,,,0.00225,2000,0.95,20260801,4044027391,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,128,105,64,True,True,5,5,0,[],1,0.0316166,0.030208,0.028625,0.038209,0.0037808479604448525,0.028625,0.038209,0.034425,0.032375,0.030375,0.044792,0.005863665193375215,0.030375,0.044792,0.034425,0.032375,0.030375,0.044792,0.005863665193375215,0.030375,0.044792,,,,0.00175,2000,0.95,20260801,3325791882,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,256,245,64,True,True,5,5,0,[],1,0.0622834,0.059417,0.057042,0.068291,0.00533248640879656,0.057042,0.068291,0.0661002,0.06075,0.058834,0.075291,0.008329095941337211,0.058834,0.075291,0.0661002,0.06075,0.058834,0.075291,0.008329095941337211,0.058834,0.075291,,,,0.00175,2000,0.95,20260801,2400325800,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,512,490,64,True,True,5,5,0,[],1,0.11621680000000001,0.114709,0.111958,0.121208,0.003791647095920185,0.111958,0.121208,0.1207748,0.117083,0.11625,0.127458,0.005717898801133151,0.11625,0.127458,0.1207748,0.117083,0.11625,0.127458,0.005717898801133151,0.11625,0.127458,,,,0.005083,2000,0.95,20260801,219110636,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,1024,1015,64,True,True,5,5,0,[],1,0.2309414,0.2285,0.223291,0.243125,0.008122111628142036,0.223291,0.243125,0.23518319999999998,0.230292,0.226375,0.250458,0.010611921301065143,0.226375,0.250458,0.23518319999999998,0.230292,0.226375,0.250458,0.010611921301065143,0.226375,0.250458,,,,0.003,2000,0.95,20260801,101975922,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,32,18,64,False,False,5,5,0,[],1,0.0172166,0.020041,0.011958,0.021209,0.004780800173611107,0.011958,0.021209,0.0218666,0.026583,0.013666,0.028042,0.007484280212552173,0.013666,0.028042,0.0218666,0.026583,0.013666,0.028042,0.007484280212552173,0.013666,0.028042,,,,0.006458,2000,0.95,20260801,2931745737,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,64,35,64,True,False,5,5,0,[],1,0.0195748,0.016583,0.01575,0.024917,0.004679332826376,0.01575,0.024917,0.023375,0.018666,0.017459,0.031667,0.007318382505718051,0.017459,0.031667,0.023375,0.018666,0.017459,0.031667,0.007318382505718051,0.017459,0.031667,,,,0.002,2000,0.95,20260801,3626640609,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,128,105,64,True,True,5,5,0,[],1,0.0334584,0.029917,0.029583,0.039417,0.005105393403059161,0.029583,0.039417,0.0373252,0.032042,0.031375,0.046167,0.007663440265311656,0.031375,0.046167,0.0373252,0.032042,0.031375,0.046167,0.007663440265311656,0.031375,0.046167,,,,0.002084,2000,0.95,20260801,3465816621,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,256,245,64,True,True,5,5,0,[],1,0.0657498,0.067333,0.0575,0.07225,0.006191368322107803,0.0575,0.07225,0.07087479999999999,0.074291,0.059292,0.080125,0.009229927177394197,0.059292,0.080125,0.07087479999999999,0.074291,0.059292,0.080125,0.009229927177394197,0.059292,0.080125,,,,0.006875,2000,0.95,20260801,704139163,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,512,490,64,True,True,5,5,0,[],1,0.1283248,0.120625,0.111291,0.16825,0.023566968912017518,0.111291,0.16825,0.1340498,0.129292,0.113416,0.17425,0.02509831717864765,0.113416,0.17425,0.1340498,0.129292,0.113416,0.17425,0.02509831717864765,0.113416,0.17425,,,,0.005834,2000,0.95,20260801,2482578595,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,1024,1015,64,True,True,5,5,0,[],1,0.2336664,0.231541,0.222292,0.246583,0.010105056842987084,0.222292,0.246583,0.23769999999999997,0.233625,0.223709,0.253833,0.013033674079092202,0.223709,0.253833,0.23769999999999997,0.233625,0.223709,0.253833,0.013033674079092202,0.223709,0.253833,,,,0.002042,2000,0.95,20260801,607186703,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,32,18,64,False,False,5,5,0,[],1,0.015783,0.011916,0.011625,0.022416,0.005521210374546509,0.011625,0.022416,0.0196584,0.013708,0.013334,0.02975,0.008455403526739572,0.013334,0.02975,0.0196584,0.013708,0.013334,0.02975,0.008455403526739572,0.013334,0.02975,,,,0.001708,2000,0.95,20260801,4058107138,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,64,35,64,True,False,5,5,0,[],1,0.0176834,0.015667,0.014875,0.026625,0.0050374649179919856,0.014875,0.026625,0.0205914,0.017292,0.016541,0.034416,0.007757170895371587,0.016541,0.034416,0.0205914,0.017292,0.016541,0.034416,0.007757170895371587,0.016541,0.034416,,,,0.001666,2000,0.95,20260801,4011047376,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,128,105,64,True,True,5,5,0,[],1,0.033875,0.031125,0.029375,0.039375,0.0048024241795160075,0.029375,0.039375,0.0393832,0.033208,0.031125,0.054541,0.010317269246268607,0.031125,0.054541,0.0393832,0.033208,0.031125,0.054541,0.010317269246268607,0.031125,0.054541,,,,0.002041,2000,0.95,20260801,900749373,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,256,245,64,True,True,5,5,0,[],1,0.07067520000000001,0.068375,0.05975,0.089292,0.012313926006761611,0.05975,0.089292,0.0792084,0.075375,0.061792,0.11075,0.019865512585886126,0.061792,0.11075,0.0792084,0.075375,0.061792,0.11075,0.019865512585886126,0.061792,0.11075,,,,0.006959,2000,0.95,20260801,1524762245,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,512,490,64,True,True,5,5,0,[],1,0.11524160000000001,0.112916,0.11175,0.1245,0.005251225266544941,0.11175,0.1245,0.11815020000000001,0.114833,0.113209,0.131708,0.007675007798041636,0.113209,0.131708,0.11815020000000001,0.114833,0.113209,0.131708,0.007675007798041636,0.113209,0.131708,,,,0.001875,2000,0.95,20260801,1494016062,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,56,64,0.875,1024,1015,64,True,True,5,5,0,[],1,0.2331252,0.2345,0.22325,0.242667,0.008865441258053653,0.22325,0.242667,0.23704200000000003,0.241709,0.225334,0.247,0.010280853636736594,0.225334,0.247,0.23704200000000003,0.241709,0.225334,0.247,0.010280853636736594,0.225334,0.247,,,,0.002042,2000,0.95,20260801,2554547385,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,32,18,64,False,False,5,5,0,[],1,0.0204582,0.022583,0.011833,0.02375,0.004897874406311374,0.011833,0.02375,0.0267916,0.029625,0.013375,0.0325,0.0076733607565394706,0.013375,0.0325,0.0267916,0.029625,0.013375,0.0325,0.0076733607565394706,0.013375,0.0325,,,,0.006666,2000,0.95,20260801,127291201,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,64,35,64,True,False,5,5,0,[],1,0.0250836,0.024291,0.015959,0.044709,0.01174675252144183,0.015959,0.044709,0.036675200000000005,0.031083,0.017625,0.0835,0.02715260300965637,0.017625,0.0835,0.036675200000000005,0.031083,0.017625,0.0835,0.02715260300965637,0.017625,0.0835,,,,0.00675,2000,0.95,20260801,3402213544,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,128,105,64,True,True,5,5,0,[],1,0.0360752,0.038875,0.029709,0.041333,0.005129829451356059,0.029709,0.041333,0.0409832,0.045416,0.031625,0.048375,0.007828553614812892,0.031625,0.048375,0.0409832,0.045416,0.031625,0.048375,0.007828553614812892,0.031625,0.048375,,,,0.006458,2000,0.95,20260801,3522652826,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,256,245,64,True,True,5,5,0,[],1,0.0679584,0.067042,0.058375,0.082459,0.009672553892328541,0.058375,0.082459,0.0762668,0.073584,0.060167,0.106375,0.018589339504135157,0.060167,0.106375,0.0762668,0.073584,0.060167,0.106375,0.018589339504135157,0.060167,0.106375,,,,0.0065,2000,0.95,20260801,2374555897,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,512,490,64,True,True,5,5,0,[],1,0.12121679999999999,0.122333,0.112375,0.124834,0.005075229620421128,0.112375,0.124834,0.1269002,0.128833,0.114209,0.131625,0.007222650150741065,0.114209,0.131625,0.1269002,0.128833,0.114209,0.131625,0.007222650150741065,0.114209,0.131625,,,,0.006417,2000,0.95,20260801,1472131277,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,1024,1015,64,True,True,5,5,0,[],1,0.2308002,0.229333,0.221834,0.242667,0.008726684977699142,0.221834,0.242667,0.2346586,0.231292,0.223584,0.24925,0.011246209797082745,0.223584,0.24925,0.2346586,0.231292,0.223584,0.24925,0.011246209797082745,0.223584,0.24925,,,,0.001875,2000,0.95,20260801,488597422,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,32,18,64,False,False,5,5,0,[],1,0.0177502,0.020208,0.011625,0.022875,0.005250410717267745,0.011625,0.022875,0.0227334,0.02625,0.013417,0.031625,0.00835553351378594,0.013417,0.031625,0.0227334,0.02625,0.013417,0.031625,0.00835553351378594,0.013417,0.031625,,,,0.006,2000,0.95,20260801,317301280,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,64,35,64,True,False,5,5,0,[],1,0.0173084,0.015417,0.014833,0.025125,0.004382971001501151,0.014833,0.025125,0.0199082,0.017208,0.016583,0.031417,0.006442132698105496,0.016583,0.031417,0.0199082,0.017208,0.016583,0.031417,0.006442132698105496,0.016583,0.031417,,,,0.001708,2000,0.95,20260801,2766549022,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,128,105,64,True,True,5,5,0,[],1,0.0343832,0.030583,0.03,0.042458,0.0057125978066025285,0.03,0.042458,0.0385748,0.0345,0.032166,0.049,0.007843327591016455,0.032166,0.049,0.0385748,0.0345,0.032166,0.049,0.007843327591016455,0.032166,0.049,,,,0.0045,2000,0.95,20260801,2503292203,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,256,245,64,True,True,5,5,0,[],1,0.06484179999999999,0.062167,0.058667,0.074917,0.006418860895828792,0.058667,0.074917,0.07157519999999999,0.064042,0.060334,0.095334,0.014275340440774083,0.060334,0.095334,0.07157519999999999,0.064042,0.060334,0.095334,0.014275340440774083,0.060334,0.095334,,,,0.0025,2000,0.95,20260801,3007519868,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,512,490,64,True,True,5,5,0,[],1,0.12230840000000001,0.124084,0.11425,0.127042,0.005045357896125899,0.11425,0.127042,0.1295332,0.131167,0.122,0.134708,0.005000658026700089,0.122,0.134708,0.1295332,0.131167,0.122,0.134708,0.005000658026700089,0.122,0.134708,,,,0.007083,2000,0.95,20260801,440981882,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,1024,1015,64,True,True,5,5,0,[],1,0.2335416,0.232375,0.227416,0.241583,0.006134828302405855,0.227416,0.241583,0.2394918,0.239292,0.229375,0.249542,0.007920902991452433,0.229375,0.249542,0.2394918,0.239292,0.229375,0.249542,0.007920902991452433,0.229375,0.249542,,,,0.0065,2000,0.95,20260801,1949487092,,,,
